Epoch,GPU_Memory_MB,CPU_RAM_Used_MB,CPU_RAM_Total_MB,Epoch_Training_Time_Seconds
1,10458,41187.336192,574461.878272,478.6218705177307
2,10478,41217.826816,574461.878272,4.1590166091918945
3,10478,41249.456128,574461.878272,6.706110000610352
4,10478,41269.239808,574461.878272,6.753360033035278
5,10478,41282.719744,574461.878272,10.14901065826416
6,10478,41292.140544,574461.878272,10.193493843078613
7,10478,41298.153472,574461.878272,4.0219221115112305
8,10478,41302.646784,574461.878272,4.057959318161011
9,10478,41314.373632,574461.878272,4.05058217048645
10,10478,41316.716544,574461.878272,6.77888035774231
11,10478,41325.359104,574461.878272,4.135103702545166
12,10478,41315.315712,574461.878272,6.633420944213867
13,10478,41324.9536,574461.878272,4.062283992767334
14,10478,41330.946048,574461.878272,6.647372484207153
15,10478,41313.292288,574461.878272,6.6355366706848145
16,10478,41356.04224,574461.878272,4.099518299102783
17,10478,41361.002496,574461.878272,4.07700514793396
18,10478,41367.740416,574461.878272,4.130134105682373
19,10478,41368.567808,574461.878272,3.9563894271850586
20,10478,41372.299264,574461.878272,3.9911012649536133
21,10478,41373.71648,574461.878272,4.065082788467407
22,10478,41375.90784,574461.878272,4.065516948699951
23,10478,41385.336832,574461.878272,4.100903034210205
24,10478,41389.912064,574461.878272,4.440208673477173
25,10478,41389.256704,574461.878272,4.08517050743103
